Trial,Congruent,Colour,Response,Time
1,1,blue,z,1.011398381
1,0,blue,slash,0.990664029
1,0,red,slash,0.772985517
1,0,green,slash,0.749673941
1,0,green,slash,0.656619505
1,1,yellow,z,0.578330486
1,0,green,slash,1.022807051
1,0,green,slash,1.386506232
1,0,yellow,slash,0.788821653
1,0,blue,slash,0.966392856
1,0,red,slash,0.709181382
1,0,blue,slash,0.945022774
1,0,red,slash,0.707840685
1,0,red,slash,0.843646132
1,0,red,slash,0.951795672
1,0,blue,slash,1.97538746
1,0,red,slash,0.89978999
1,0,blue,slash,0.701117199
1,0,red,slash,0.714814863
1,0,red,slash,0.926731772
2,0,red,slash,1.028992993
2,0,green,slash,1.297180039
2,0,yellow,slash,0.837676867
2,1,blue,z,0.69878692
2,0,yellow,slash,0.66760667
2,0,red,slash,0.784111636
2,0,green,slash,0.808912659
2,1,red,z,1.139598556
2,0,blue,slash,0.945061029
2,1,green,z,0.939483616
2,0,red,slash,0.830360669
2,0,green,slash,1.73765617
2,1,yellow,z,0.97739582
2,1,yellow,z,0.799433178
2,0,green,slash,1.092666535
2,0,yellow,slash,1.431017007
2,0,yellow,slash,0.65011523
2,0,green,slash,0.68604823
2,0,red,slash,0.883483621
2,0,green,slash,0.715572971
3,0,red,slash,0.833858597
3,0,red,slash,0.947989754
3,1,red,z,0.604477071
3,0,red,slash,0.627220196
3,0,red,slash,0.614926013
3,0,yellow,slash,0.635739578
3,0,blue,slash,0.64593447
3,0,green,slash,0.660094074
3,0,red,slash,0.94006398
3,1,green,z,0.810049536
3,0,blue,slash,0.636695843
3,0,yellow,slash,0.562087885
3,0,yellow,slash,0.589608102
3,0,blue,slash,1.013949504
3,1,red,z,0.602432933
3,0,green,slash,0.462190447
3,0,yellow,slash,0.699421484
3,0,blue,slash,0.744119596
3,0,red,slash,0.557411687
3,0,green,slash,0.582428388
4,0,green,slash,0.776596063
4,0,red,slash,0.710661146
4,0,green,slash,0.662313536
4,0,blue,slash,0.986030609
4,0,red,slash,1.377352442
4,1,blue,z,0.614771779
4,1,yellow,z,1.07033201
4,1,red,z,0.77603995
4,0,blue,slash,1.172875843
4,0,yellow,slash,1.78780175
4,0,red,slash,1.18656982
4,0,red,slash,4.190890995
4,0,yellow,slash,2.581596571
4,0,blue,slash,0.719863681
4,1,blue,z,0.534578709
4,0,red,slash,0.680794427
4,0,red,slash,0.685170995
4,0,red,slash,0.592518905
4,0,red,slash,0.62821473
4,0,yellow,slash,0.74834595
5,0,green,slash,1.469074528
5,0,yellow,slash,1.239191779
5,1,green,z,0.816581455
5,0,red,slash,0.530029052
5,0,red,slash,0.762706755
5,0,yellow,slash,0.712922362
5,0,red,slash,0.653821452
5,0,red,slash,1.652505624
5,1,yellow,z,0.667944581
5,1,red,z,0.848499311
5,0,blue,slash,0.830496747
5,1,red,z,0.564308048
5,1,yellow,z,0.788863685
5,0,yellow,slash,1.919330774
5,0,red,slash,0.658265353
5,0,green,slash,0.734484671
5,0,yellow,slash,2.79154341
5,0,blue,slash,0.852555074
5,1,green,z,0.686457953
5,0,blue,slash,1.826121564
6,0,yellow,slash,1.766893588
6,0,yellow,slash,0.751951526
6,0,green,slash,3.971279695
6,1,blue,z,1.307807738
6,0,yellow,slash,0.777612967
6,0,yellow,slash,0.754833029
6,0,green,slash,0.660840357
6,0,green,slash,0.77368622
6,0,blue,slash,1.661224849
6,0,green,slash,1.773679194
6,0,yellow,slash,0.703107692
6,0,yellow,slash,0.868341169
6,0,red,slash,1.002495171
6,0,blue,slash,4.522726243
6,0,green,slash,2.885762724
6,0,blue,slash,0.756306341
6,0,yellow,slash,0.785710593
6,0,red,slash,1.100013594
6,0,yellow,slash,1.17941882
6,1,blue,z,0.638813872
7,0,blue,slash,0.607910528
7,0,yellow,slash,0.498792356
7,1,blue,z,0.785040664
7,0,red,slash,0.566677316
7,0,red,slash,1.098672934
7,1,blue,z,0.611404417
7,1,green,z,0.906447012
7,1,yellow,z,0.627165353
7,0,green,z,0.203900892
7,1,red,z,1.380503192
7,0,yellow,slash,1.347961903
7,0,yellow,slash,1.554152055
7,0,blue,slash,1.238329273
7,0,red,slash,1.497901191
7,0,blue,slash,1.305994767
7,0,red,slash,1.007851144
7,1,blue,z,1.21346032
7,0,green,slash,0.787222378
7,1,blue,z,0.597879225
7,0,yellow,slash,0.839213776
8,0,green,slash,0.697626137
